,,1,2,3,4,5,6,7,8,9,10
time(s),distance(mm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm)
18.72 ,37.44 ,112229 ,105759,102370,103132,102939,102167,102066,100923,99332.7,99508.3
18.88 ,37.76 ,110930 ,104250,101633,102419,102351,101687,101567,100326,98849.2,99044
19.04 ,38.08 ,109719 ,103309,101058,101867,101831,102138,102511,99851.6,99159.9,101001
19.20 ,38.40 ,108591 ,102597,100590,101371,101751,103991,104288,100600,100907,102999
19.36 ,38.72 ,106723 ,102006,101158,102222,103513,105935,106402,102433,102753,105146
19.52 ,39.04 ,105235 ,101544,102996,104009,105510,108233,108753,104360,104876,107882
19.68 ,39.36 ,104267 ,102003,104947,106115,107785,110884,111332,106622,107413,110682
19.84 ,39.68 ,103515 ,103887,107309,108449,110249,113651,114307,109261,110061,113560
20.00 ,40.00 ,102947 ,105856,109890,111028,113130,116794,117502,112001,112995,116856
20.16 ,39.84 ,102484 ,108104,112664,114008,116261,120209,120782,115089,116266,120395
20.32 ,39.52 ,102831 ,110780,115867,117156,119443,123637,124488,118469,119559,123883
20.48 ,39.20 ,104663 ,113574,119169,120446,123041,127442,128266,121861,123107,127612
20.64 ,38.88 ,106672 ,116665,122588,124149,126821,131396,132113,125547,126962,131548
20.80 ,38.56 ,109065 ,120100,126406,127852,130581,135325,136288,129492,130738,135467
20.96 ,38.24 ,111626 ,123508,130257,131703,134729,139622,140517,133347,134745,139816
21.12 ,37.92 ,114476 ,127238,134174,135931,138946,144038,144819,137513,139037,144247
21.28 ,37.60 ,117700 ,131188,138478,140089,143154,148406,149511,141875,143236,148568
21.44 ,37.28 ,120969 ,135103,142742,144384,147760,153160,154126,146152,147696,153307
21.60 ,36.96 ,124503 ,139316,147083,149030,152394,157997,158806,150755,152385,158188
21.76 ,36.64 ,128364 ,143743,151808,153589,156998,162729,163858,155495,156927,162795
21.92 ,36.32 ,132172 ,148011,156429,158275,162024,167830,168809,160116,161760,167715
22.08 ,36.00 ,136237 ,152651,161151,163331,166989,173006,173847,165107,166774,173025
22.24 ,35.68 ,140568 ,157494,166242,168228,171918,178103,179269,170183,171691,178448
22.40 ,35.36 ,144799 ,162115,171175,173283,177262,183573,184533,175138,176886,183812
22.56 ,35.04 ,149302 ,167149,176250,178677,182602,189061,189995,180489,182238,189053
22.72 ,34.72 ,154068 ,172273,181682,183884,187871,194468,195731,185911,187398,194317
22.88 ,34.40 ,158656 ,177222,186942,189311,193601,200313,201269,191142,192918,200101
23.04 ,34.08 ,163565 ,182596,192310,195016,199201,206080,206991,196829,198564,205756
23.20 ,33.76 ,168666 ,188010,198068,200503,204852,211843,213120,202529,204058,211373
23.36 ,33.44 ,173595 ,193318,203572,206258,210928,218034,218976,208130,209898,217446
23.52 ,33.12 ,178845 ,198948,209322,212296,216810,224134,225057,214133,215815,223456
23.68 ,32.80 ,184256 ,204598,215360,218082,222735,230218,231452,220115,221614,229458
23.84 ,32.48 ,189500 ,210249,221178,224148,229109,236769,237605,225981,227749,235839
24.00 ,32.16 ,195070 ,216277,227242,230479,235264,243191,244028,232357,233809,242052
24.16 ,31.84 ,200776 ,222171,233568,236544,241479,249621,250775,238596,239862,248381
24.32 ,31.52 ,206319 ,228073,239623,242930,248244,256508,257261,244799,246587,255176
24.48 ,31.20 ,212237 ,234368,246015,249573,254715,263199,264047,251506,253138,261721
24.64 ,30.88 ,218205 ,240587,252671,255930,261314,269948,271081,258035,259539,268314
24.80 ,30.56 ,223975 ,246729,258980,262683,268370,277177,277858,264538,266427,275409
24.96 ,30.24 ,230174 ,253346,265665,269589,275109,284163,284989,271514,273269,282209
25.12 ,29.92 ,236389 ,259852,272573,276238,282033,291286,292380,278375,279984,289240
25.28 ,29.60 ,242404 ,266271,279259,283384,289396,298836,299444,285191,287215,296679
25.44 ,29.28 ,248954 ,273175,286273,290598,296457,306131,306976,292559,294308,303787
25.60 ,28.96 ,255424 ,279946,293514,297591,303764,313558,314665,299661,301342,311143
25.76 ,28.64 ,261731 ,286708,300464,304998,311415,321467,322116,306836,308927,318966
25.92 ,28.32 ,268507 ,293896,307946,312535,318770,329063,330040,314557,316351,326370
26.08 ,28.00 ,275216 ,300950,315413,319824,326398,336877,338044,321956,323738,334125
26.24 ,27.68 ,281822 ,308015,322767,327608,334433,345187,345848,329535,331730,342273
26.40 ,27.36 ,288917 ,315565,330489,335396,342090,353149,354196,337630,339501,350027
26.56 ,27.04 ,295895 ,322885,338385,343030,350120,361351,362579,345352,347227,358139
26.72 ,26.72 ,302811 ,330273,345921,351211,358553,369993,370704,353267,355571,366593
26.88 ,26.40 ,310220 ,338173,354095,359342,366612,378287,379345,361709,363607,374666
27.04 ,26.08 ,317523 ,345797,362285,367311,375116,386941,388062,369773,371709,383150
27.20 ,25.76 ,324717 ,353553,370243,375854,383824,395913,396491,378102,380368,391947
27.36 ,25.44 ,332480 ,361825,378817,384335,392246,404523,405549,386904,388706,400358
27.52 ,25.12 ,340064 ,369770,387337,392654,401159,413573,414587,395324,397240,409183
27.68 ,24.80 ,347596 ,377945,395655,401591,410260,422901,423339,404052,406257,418260
27.84 ,24.48 ,355742 ,386563,404608,410378,418913,431871,432708,413230,414927,426926
28.00 ,24.16 ,363595 ,394853,413414,419064,428228,441304,442038,421935,423820,436127
28.16 ,23.84 ,371550 ,403394,422125,428381,437658,451069,451183,431041,433197,445517
28.32 ,23.52 ,379997 ,412372,431453,437567,446721,460369,460964,440560,442100,454423
28.48 ,23.20 ,388161 ,420964,440583,446714,456403,470157,470615,449552,451283,463940
28.64 ,22.88 ,396454 ,429901,449586,456408,466137,480176,480086,458987,460922,473499
28.80 ,22.56 ,405312 ,439246,459300,465861,475520,489710,490214,468746,470124,482690
28.96 ,22.24 ,413739 ,448145,468707,475276,485498,499900,500072,478048,479696,492579
29.12 ,21.92 ,422443 ,457535,478051,485347,495532,510119,509783,487892,489653,502363
29.28 ,21.60 ,431644 ,467119,488000,495086,505215,519954,520283,497899,499106,511777
29.44 ,21.28 ,440459 ,476311,497698,504846,515602,530351,530228,507419,508801,521779
29.60 ,20.96 ,449502 ,485882,507389,515203,525795,540800,540238,517372,518892,531659
29.76 ,20.64 ,459069 ,495852,517718,525047,535723,550696,550759,527450,528427,541159
29.92 ,20.32 ,468135 ,505389,527699,535096,546294,561280,560873,537116,538393,551244
30.08 ,20.00 ,477536 ,515389,537624,545558,556708,571765,570923,547314,548517,561140
30.24 ,19.68 ,487418 ,525566,548211,555614,566791,581867,581541,557343,558123,570592
30.40 ,19.36 ,496834 ,535329,558237,565795,577476,592390,591524,566892,568110,580641
30.56 ,19.04 ,506389 ,545644,568367,576442,587823,602860,601618,577081,578220,590370
30.72 ,18.72 ,516644 ,556054,578951,586476,597926,612901,612083,587226,587742,599787
30.88 ,18.40 ,526266 ,565924,589003,596769,608669,623514,622045,596823,597639,609689
31.04 ,18.08 ,536292 ,576434,599188,607358,618930,633742,631985,606968,607556,619108
31.20 ,17.76 ,546684 ,586980,609771,617439,629006,643589,642253,616931,616896,628031
31.36 ,17.44 ,556545 ,596976,619753,627672,639657,653873,651809,626357,626600,637634
31.52 ,17.12 ,567112 ,607575,629923,638120,649729,663744,661517,636254,636208,646646
31.68 ,16.80 ,577743 ,618072,640460,647796,659590,673298,671304,645815,645217,655385
31.84 ,16.48 ,587828 ,628159,650293,657661,669847,683364,680435,654916,654575,664110
32.00 ,16.16 ,598391 ,638800,660291,667707,679587,692695,689665,664457,663706,672754
32.16 ,15.84 ,609014 ,649192,670471,677137,689063,701779,698797,673386,672301,680996
32.32 ,15.52 ,619149 ,659149,679946,686835,698949,711186,707319,681716,681083,689146
32.48 ,15.20 ,629644 ,669615,689546,696537,708137,720026,715889,690656,689511,696654
32.64 ,14.88 ,640204 ,679652,699221,705519,717126,728546,724298,699089,697457,704410
32.80 ,14.56 ,650268 ,689273,708122,714684,726251,737200,732153,707059,705698,712085
32.96 ,14.24 ,660932 ,699414,717246,723736,734732,745261,740079,715243,713415,718922
33.12 ,13.92 ,671381 ,709110,726279,732112,742960,753080,746513,722597,720665,725840
33.28 ,13.60 ,681312 ,718363,734658,740690,751474,760897,753227,729829,728062,732682
33.44 ,13.28 ,691603 ,727945,743124,749096,759114,768122,760396,737312,734944,738809
33.60 ,12.96 ,701649 ,736870,751260,756743,766587,774997,767333,744117,741427,744731
33.76 ,12.64 ,711195 ,745423,758855,764503,774000,781890,773423,750652,748052,750583
33.92 ,12.32 ,721090 ,754206,766518,771974,780818,788107,779253,756227,754078,755872
34.08 ,12.00 ,730663 ,762434,773898,778786,787540,794038,785022,762313,759778,760930
34.24 ,11.68 ,739680 ,770256,780702,785676,794124,800010,790039,768163,765451,765947
34.40 ,11.36 ,749074 ,778235,787509,792221,800043,804999,794892,773873,770641,770263
34.56 ,11.04 ,757848 ,785503,793981,798202,805837,808371,799669,779071,775453,774555
34.72 ,10.72 ,766219 ,792500,799855,804201,811432,812984,803861,783980,780284,778629
34.88 ,10.40 ,774789 ,799485,805773,809770,816452,817560,808159,788731,784632,782257
35.04 ,10.08 ,782683 ,805928,811285,814852,821380,822043,812383,793054,788707,785772
35.20 ,9.76 ,790153 ,812042,816171,819956,826069,826540,816210,797092,792708,789085
35.36 ,9.44 ,797781 ,817974,821097,824563,830166,830415,820059,801014,796281,792004
35.52 ,9.12 ,804808 ,823375,825676,828707,834235,834112,823478,804503,799670,794840
35.68 ,8.80 ,811348 ,828444,829758,832835,838071,836291,826552,807863,802956,797484
35.84 ,8.48 ,817998 ,833499,833743,836534,841469,838704,829611,811026,805808,799840
36.00 ,8.16 ,823815 ,837896,837385,839907,844705,841835,832272,813859,808536,802079
36.16 ,7.84 ,829289 ,842088,840638,843204,847741,844722,834810,816587,811103,804168
36.32 ,7.52 ,834812 ,846085,843803,846101,850359,847230,837072,819047,813311,805863
36.48 ,7.20 ,839794 ,849579,846561,848705,852867,849646,839093,821216,815356,807523
36.64 ,6.88 ,844453 ,852835,849099,851266,855132,851794,840937,823238,817255,808976
36.80 ,6.56 ,848947 ,855927,851454,853460,857038,853657,842665,825086,818961,810364
36.96 ,6.24 ,852879 ,858521,853464,855438,858902,855387,844125,826633,820494,811546
37.12 ,5.92 ,856535 ,860979,855213,857246,860528,856971,845369,828091,821898,812607
37.28 ,5.60 ,859997 ,863246,856858,858816,861857,858259,846651,829404,823048,813531
37.44 ,5.28 ,862948 ,865155,858228,860148,863125,859402,847751,830488,824085,814193
37.60 ,4.96 ,865582 ,866882,859395,861334,864220,860424,848591,831512,825061,814795
37.76 ,4.64 ,867996 ,868387,860437,862317,864953,861272,849319,832410,825850,815353
37.92 ,4.32 ,870016 ,869563,861246,863130,865612,861992,849802,833048,826507,815767
38.08 ,4.00 ,871827 ,870543,861875,863813,866109,862478,850223,833646,827085,815503
38.24 ,3.68 ,873481 ,871303,862405,864132,866470,861624,848635,834039,826365,813549
38.40 ,3.36 ,874732 ,871886,862834,864420,865746,858658,845766,832765,823785,810408
38.56 ,3.04 ,875717 ,872325,861567,862739,863150,855404,842416,829936,820711,807415
38.72 ,2.72 ,876505 ,872546,858105,859544,859894,852184,838904,826812,817733,804521
38.88 ,2.40 ,877019 ,871136,854477,856047,856420,848756,835546,823786,814683,801508
39.04 ,2.08 ,877368 ,867261,850792,852384,852998,845462,832322,820631,811634,798655
39.20 ,1.76 ,877531 ,863049,846960,848892,849665,842353,829059,817528,808741,795886
39.36 ,1.44 ,877449 ,859012,843392,845423,846229,839144,826028,814663,805759,792995
39.52 ,1.12 ,875701 ,854808,839889,841878,842964,836038,823030,811657,802876,790311
39.68 ,0.80 ,871179 ,850744,836262,838633,839871,833118,819971,808738,800210,787683
39.84 ,0.48 ,866561 ,846927,832956,835320,836662,830089,817099,805990,797460,784998
40.00 ,0.16 ,861778 ,843004,829665,832095,833626,827236,814252,803185,794780,782496
